Case 1: 2
Case 2: 2/9
Case 3: 0
Case 105: 8 644813/2707650
Case 106: 14 1130662/2040771
Case 107: 7 799454/2229357
Case 108: 1 2121800/7295418
Case 109: 6 2554356/4837307
Case 110: 7 2399302/4384923
Case 111: 7 269675/4492430
Case 112: 47 189110/195389
Case 113: 4661945/6026320
Case 114: 6 168175/4065712
Case 115: 2 5191607/7784712
Case 116: 23 153447/1147121
Case 117: 1936579/5981805
Case 118: 4 1547670/7368532
Case 119: 4 5157856/5172621
Case 120: 2 2886593/7991055
Case 121: 8 524278/1809398
Case 122: 4 1348643/1707833
Case 123: 2 4644816/4909201
Case 124: 3 1816554/4138253
Case 125: 5789660/6609504
Case 126: 1 986062/7577779
Case 127: 34 459684/627451
Case 128: 6 3089152/4722545
Case 129: 6 468999/5365014
Case 130: 4 82319/208371
Case 131: 11 2531867/2811232
Case 132: 3 4422193/7014826
Case 133: 2 2867159/7465376
Case 134: 12 143218/2002998
Case 135: 49 84076/310253
Case 136: 2 406511/3120097
Case 137: 4 4331492/4634620
Case 138: 1 1682325/7719306
Case 139: 4 4163406/4236863
Case 140: 4 2107080/6826490
Case 141: 5 1328506/2062997
Case 142: 3 1307987/7960464
Case 143: 23 205067/611009
Case 144: 3 5234023/7630004
Case 145: 31 464597/1041230
Case 146: 2 2828907/6771777
Case 147: 54 273935/583503
Case 148: 10 2128650/2392334
Case 149: 3 5982008/7631549
Case 150: 5219454/7193345
Case 151: 7 337105/4583867
Case 152: 2855516/4100802
Case 153: 1 3414669/3493808
Case 154: 11 182106/1188256
Case 155: 12 19003/960836
Case 156: 3 1076393/2117206
Case 157: 7 40705/2359534
Case 158: 12 538553/939358
Case 159: 3 5721479/5770653
Case 160: 7 2470416/3259058
Case 161: 122 55211/208990
Case 162: 893756/6997223
Case 163: 1 385901/5126530
Case 164: 1 4733298/7532871
Case 165: 4 864127/1414979
Case 166: 1 2588253/6232477
Case 167: 3 1317140/3203384
Case 168: 5556805/7102732
Case 169: 9 1564560/1774752
Case 170: 3 3685454/4887869
Case 171: 28 174238/641485
Case 172: 5 1801302/1997614
Case 173: 3 2416961/7357130
Case 174: 2 319184/3017486
Case 175: 6 3907894/4484887
Case 176: 16 162523/1004164
Case 177: 1 1704962/4096998
Case 178: 1 3597187/6113210
Case 179: 4 2493589/4382173
Case 180: 1 6564318/6733077
Case 181: 6 2323085/5043912
Case 182: 5 2847864/5296436
Case 183: 4 3200710/5699111
Case 184: 6 1722862/4596208
Case 185: 57 193728/540339
Case 186: 1 1418052/4994086
Case 187: 2 6804240/7614824
Case 188: 9 1063086/3518762
Case 189: 1626101/8097302
Case 190: 1222809/7247912
Case 191: 6 274353/2775215
Case 192: 1 2182485/3329492
Case 193: 5 1047320/3937395
Case 194: 13 1561930/1753911
Case 195: 2 2268311/5783749
Case 196: 15 829728/2076984
Case 197: 3 2418986/8180845
Case 198: 2 3257074/5736065
Case 199: 6 1842838/2189932
Case 200: 2 1215977/7535050
Case 201: 4 4189772/5149754
Case 202: 6 2610811/4377686
Case 203: 8 1144494/2519456
Case 204: 3805692/7018051
Case 205: 1 5933061/7428061
Case 206: 2 2068192/2544598
Case 207: 2 3275585/3393492
Case 208: 12 1372651/2032156
Case 209: 2 1071939/2989204
Case 210: 5 3065623/3361169
Case 211: 5 446361/6278531
Case 212: 6 1723740/2564342
Case 213: 1 3107227/7622924
Case 214: 4 736860/4364126
Case 215: 3 668154/3461886
Case 216: 4858448/7074981
Case 217: 16 29166/1249065
Case 218: 4 2336239/4933912
Case 219: 2 1004837/4671353
Case 220: 21 243783/929061
Case 221: 54 251143/540985
Case 222: 788633/6354337
Case 223: 4109140/7121162
Case 224: 2781441/7411363
Case 225: 1 251190/457436
Case 226: 16 117231/1046240
Case 227: 1710784/4878406
Case 228: 1 4542633/8230045
Case 229: 353204/1964507
Case 230: 4 2249554/5127251
Case 231: 4 2117728/7188130
Case 232: 1 12986/275532
Case 233: 7478510/8209504
Case 234: 1 4001394/4063451
Case 235: 7 2696769/3632896
Case 236: 5 2459670/3569547
Case 237: 6 342626/2960248
Case 238: 7 2996714/3882885
Case 239: 7 1608245/2393724
Case 240: 7 3059457/3114017
Case 241: 7 836399/3050169
Case 242: 11 272867/1496003
Case 243: 3 2177062/4375988
Case 244: 33 200366/853910
Case 245: 2 2880775/3590194
Case 246: 1 583470/2887405
Case 247: 2 2655091/7663359
Case 248: 361881/3265366
Case 249: 8 87716/3388411
Case 250: 23 62048/464870
Case 251: 2592302/7070357
Case 252: 3417684/6311630
Case 253: 10 1351101/2035524
Case 254: 3 387918/5090940
Case 255: 5 3243265/3297881
Case 256: 3 1175818/4075822
Case 257: 2 3484722/5763570
Case 258: 1 5631092/5933026
Case 259: 6 901862/4232234
Case 260: 5 2677856/3502090
Case 261: 9 88743/762457
Case 262: 8 2896575/3147112
Case 263: 7 2840067/4165810
Case 264: 1 2456589/3892070
Case 265: 8 2664955/3356078
Case 266: 1075473/7376535
Case 267: 2 1066849/4179399
Case 268: 9 2266593/3109436
Case 269: 7 1319370/1950883
Case 270: 4 3944437/7223814
Case 271: 14 941252/1483264
Case 272: 1 1125516/8228248
Case 273: 2 617421/8295809
Case 274: 3 345046/6646385
Case 275: 6 1151854/2334035
Case 276: 5 2063229/3772971
Case 277: 34 280646/591428
Case 278: 2 689973/5273097
Case 279: 9 856237/1038607
Case 280: 22 247256/1377735
Case 281: 23 425827/888272
Case 282: 7477280/8347603
Case 283: 8 411138/3992493
Case 284: 19 356818/1711761
Case 285: 4768232/4821589
Case 286: 5 1800251/2460771
Case 287: 3341730/6059174
Case 288: 2 305774/4376246
Case 289: 3 4422676/7382679
Case 290: 3 4033165/6414632
Case 291: 1 2451280/5213761
Case 292: 5 1781519/2110919
Case 293: 1 4689895/7959737
Case 294: 5 2380062/3923032
Case 295: 1 1635040/2852131
Case 296: 13 852048/2088687
Case 297: 6 1908205/2277202
Case 298: 4 3591417/6762541
Case 299: 4 3423089/3726382
Case 300: 73 262933/291001
Case 301: 4 5084152/5200055
Case 302: 30 154175/833875
Case 303: 9 1052623/1720578
Case 304: 5 648693/4820526
Case 305: 4 8853/5016871
Case 306: 15 259036/958796
Case 307: 3 214079/1091525
Case 308: 459401/950500
Case 309: 3 4028178/8339891
Case 310: 3 2313198/4306678
Case 311: 1 516627/3283821
Case 312: 14 1954615/2165000
Case 313: 4 3362188/3562433
Case 314: 1396948/2802647
Case 315: 4667247/4893131
Case 316: 2 1785838/5398448
Case 317: 7 773056/2123437
Case 318: 4 6082379/6504446
Case 319: 3 1431711/7425650
Case 320: 8 1489784/3533005
Case 321: 1 5710291/7560145
Case 322: 1 861890/3081766
Case 323: 3039187/7975825
Case 324: 2228485/3298556
Case 325: 1 4383/2676228
Case 326: 6 196781/3931773
Case 327: 2456001/5351849
Case 328: 2 1884542/3438973
Case 329: 7 1152366/1553252
Case 330: 4 1007513/1401549
Case 331: 6 429054/4427856
Case 332: 8 2069132/3779625
Case 333: 7 738710/2159020
Case 334: 1 3719076/4798099
Case 335: 6 683167/2031491
Case 336: 6 2392846/5047401
Case 337: 86 283026/375247
Case 338: 4 1660958/2399672
Case 339: 3 1721867/6839635
Case 340: 33 428441/938668
Case 341: 6 2419746/3515315
Case 342: 552 9244/18543
Case 343: 2 2979533/7123248
Case 344: 6 1434477/4568006
Case 345: 3 416732/2496421
Case 346: 2 1534626/5159440
Case 347: 19 221773/373203
Case 348: 1330557/3339700
Case 349: 4 442625/3956462
Case 350: 1618708/4072223
Case 351: 3 2555097/7522692
Case 352: 14 910421/1351305
Case 353: 18 1249223/1680447
Case 354: 19 608673/1492633
Case 355: 2 5315743/7919557
Case 356: 4 3784227/6612541
Case 357: 9 356302/1982334
Case 358: 347 57189/81473
Case 359: 11 53878/2279179
Case 360: 12 680597/2428389
Case 361: 2 4384889/6980629
Case 362: 3 12907/3593465
Case 363: 7 1311628/3407527
Case 364: 9 251316/453377
Case 365: 4 4118915/6879701
Case 366: 5 302205/4489746
Case 367: 2289973/5420905
Case 368: 24 336306/901528
Case 369: 5 3290715/4677257
Case 370: 5 3523781/5659248
Case 371: 5 3825493/4826454
Case 372: 83 42795/356648
Case 373: 23 456112/937479
Case 374: 4 1308630/6627394
Case 375: 3 730346/7271653
Case 376: 3 1367705/5985998
Case 377: 30 1025872/1060188
Case 378: 2541611/4023402
Case 379: 1804682/8344450
Case 380: 2 2182388/7383184
Case 381: 3 1126791/4414732
Case 382: 3 787893/1387987
Case 383: 3 4288443/6667614
Case 384: 12 928155/1875721
Case 385: 7 1999061/2931268
Case 386: 10 1213391/1428085
Case 387: 7 305519/2750962
Case 388: 21 649368/745588
Case 389: 3 6568543/6809844
Case 390: 3 3896560/5057076
Case 391: 5 2772289/5766582
Case 392: 2 2568113/6880192
Case 393: 4 2294464/5748975
Case 394: 241 2569/126722
Case 395: 2 95402/4094655
Case 396: 3 1378691/5367302
Case 397: 3 1343786/7493555
Case 398: 8 2531740/3217443
Case 399: 5 1033977/1917400
Case 400: 1 1119009/2749738
Case 401: 12 2104991/2593026
Case 402: 13 608932/1369407
Case 403: 142 147246/164518
Case 404: 3 1636083/2077983
Case 405: 15 829121/1109331
Case 406: 6 1895150/4832183
Case 407: 1 6019319/8244057
Case 408: 3 2606636/8111429
Case 409: 1 3796398/6106919
Case 410: 14 379583/1939993
Case 411: 3 1789720/7410173
Case 412: 2 4087487/7362972
Case 413: 6 3415264/4399348
Case 414: 2 1023392/1822485
Case 415: 2 1849122/5017406
Case 416: 5 800243/3398247
Case 417: 9 1322993/1499122
Case 418: 5 3085421/3924579
Case 419: 5 1823626/4782353
Case 420: 3 1371583/7421313
Case 421: 16 284953/816410
Case 422: 1 1239541/2710563
Case 423: 5090123/5770872
Case 424: 5 1208074/2478480
Case 425: 29 130692/173336
Case 426: 3 1278818/5479121
Case 427: 24 807110/1086784
Case 428: 4 149742/5904962
Case 429: 4 2719512/4312399
Case 430: 5181924/6302369
Case 431: 12 193798/1838304
Case 432: 39 53915/495686
Case 433: 3 4178919/7118353
Case 434: 6 1825522/3264916
Case 435: 3 4588345/6444335
Case 436: 62 134523/244797
Case 437: 4 3921924/6473614
Case 438: 3 2598358/6323765
Case 439: 4 2451908/3944538
Case 440: 1 5713211/7248081
Case 441: 22 1351598/1414356
Case 442: 5 3233379/5607327
Case 443: 1 4083781/5219428
Case 444: 2 6575465/8006636
Case 445: 21 1179057/1229767
Case 446: 8 1602545/2724416
Case 447: 2 4214013/6045797
Case 448: 7 387706/1078151
Case 449: 2 3709969/5327059
Case 450: 145 94213/199298
Case 451: 7 969558/3845649
Case 452: 6 944644/3746587
Case 453: 14 320118/1419384
Case 454: 5 1540136/5731402
Case 455: 6 2479975/3176946
Case 456: 9 2304529/3176450
Case 457: 5 1385246/2104890
Case 458: 2 1262720/2897506
Case 459: 113714/6390831
Case 460: 1068 15056/31366
Case 461: 6 1138976/2206494
Case 462: 7 789783/2869851
Case 463: 3 6471197/6672525
Case 464: 4 2699953/6469484
Case 465: 10 926009/2237427
Case 466: 106 142035/230428
Case 467: 6 2715158/4176121
Case 468: 1 2714/2831026
Case 469: 12 188633/2327276
Case 470: 6 303558/2746904
Case 471: 1 5504050/5679036
Case 472: 6 1213865/3149668
Case 473: 5 3990606/5359428
Case 474: 2 1857066/5289781
Case 475: 2 1825307/8030713
Case 476: 3 627944/7894275
Case 477: 3069149/3576203
Case 478: 2129566/7928123
Case 479: 4 2419779/4046225
Case 480: 7 352570/1670407
Case 481: 14 1056784/1548733
Case 482: 5 1965778/4432901
Case 483: 6007476/7370495
Case 484: 25 134991/171887
Case 485: 4 4925398/6471209
Case 486: 4 585091/7065498
Case 487: 9 2173130/2908192
Case 488: 7 1283955/3294169
Case 489: 2 1714340/3222646
Case 490: 2 6792758/8149544
Case 491: 12 1951395/2432465
Case 492: 2 699610/2557010
Case 493: 27 827067/1203604
Case 494: 21 1234125/1531145
Case 495: 4 3544557/4433523
Case 496: 4 3079629/6490551
Case 497: 29 391466/523343
Case 498: 1 5688698/7360833
Case 499: 48 258163/413346
Case 500: 1 4063814/7766823
Case 501: 7 599819/2877724
Case 502: 3 4528284/7729279
Case 503: 6 2222354/4290551
Case 504: 1 87982/6710867
Case 505: 5 1876802/2840173
Case 506: 569 14942/55588
Case 507: 4227417/7802614
Case 508: 2 588671/1081833
Case 509: 2 2889108/5731773
Case 510: 3 7020819/7186805
Case 511: 7 208939/2120301
Case 512: 2 7155418/8308175
Case 513: 7 154298/4435607
Case 514: 3 3460816/8342182
Case 515: 1 4558403/6502589
Case 516: 2 861684/2619343
Case 517: 2 14825/3737695
Case 518: 49 160601/476319
Case 519: 2 106511/386379
Case 520: 4043777/4223871
Case 521: 2 3445945/7459002
Case 522: 4 3763641/6312428
Case 523: 96 74976/340242
Case 524: 6255116/6628346
Case 525: 6 2793396/4755243
Case 526: 1 2845922/8076333
Case 527: 15 532831/1595385
Case 528: 3 1169412/2047973
Case 529: 9 1529387/1615786
Case 530: 4 4083016/5871835
Case 531: 3 1302158/5472220
Case 532: 1 2067257/4510611
Case 533: 1 2129849/6790666
Case 534: 1 3375895/4813098
Case 535: 5 4938098/5106686
Case 536: 4802167/6796114
Case 537: 2 6786283/7550779
Case 538: 2 4711881/7262939
Case 539: 5 2482667/5846214
Case 540: 1 4329790/4861060
Case 541: 4 1185935/3808145
Case 542: 2 4776212/5855185
Case 543: 2 726984/1970166
Case 544: 2 3691903/5025093
Case 545: 6348154/6784460
Case 546: 41 727883/738940
Case 547: 14 19504/1820871
Case 548: 2 1394986/2233037
Case 549: 9 446374/2118640
Case 550: 8 1429440/3647914
Case 551: 1 546372/4489480
Case 552: 10 2396488/2668675
Case 553: 11 424971/2881047
Case 554: 3 847637/4994190
Case 555: 5 2846382/5845695
Case 556: 1 5696966/8115573
Case 557: 3 6531780/7324152
Case 558: 3 1100692/2113898
Case 559: 4 3877248/5608918
Case 560: 3 2946903/3542741
Case 561: 5552038/6880061
Case 562: 4 1068837/5658984
Case 563: 3 463025/5651578
Case 564: 11 1425826/2274619
Case 565: 3 4145440/7847543
Case 566: 1 2428223/7907471
Case 567: 2 1139421/3195157
Case 568: 3 918832/4719656
Case 569: 2460767/6591963
Case 570: 3 3140182/7150965
Case 571: 9 1228213/3187741
Case 572: 9 997984/2388804
Case 573: 21 761544/1297958
Case 574: 1 2517412/4912377
Case 575: 20 1082202/1492970
Case 576: 3 1021791/2658970
Case 577: 1 1017942/8288956
Case 578: 4 2586158/3985877
Case 579: 3 4691325/5676395
Case 580: 5 1514681/5198225
Case 581: 11 974350/1084301
Case 582: 25 816143/1000077
Case 583: 3 3073357/6050160
Case 584: 3 2742570/3724515
Case 585: 1 3465684/5799179
Case 586: 3 4964958/6869639
Case 587: 2 2521845/5899154
Case 588: 6 1459143/2517914
Case 589: 649 13429/16268
Case 590: 1 1175810/5968738
Case 591: 4 4434129/6416321
Case 592: 17 768347/1890904
Case 593: 1 64205/3440535
Case 594: 6 3451552/3699536
Case 595: 6 2188571/4084421
Case 596: 11 630038/640566
Case 597: 3 4006798/6973820
Case 598: 116 16249/79497
Case 599: 28 208547/810071
Case 600: 11 815028/2858903
Case 601: 3393408/3729093
Case 602: 7392124/7837840
Case 603: 6 2041810/3318715
Case 604: 62 313192/399504
Case 605: 5 2838008/3101043
Case 606: 7 145378/508390
Case 607: 16 53945/1488275
Case 608: 17 803155/1699265
Case 609: 2 5441243/8017793
Case 610: 1 610785/1135188
Case 611: 4365081/5975894
Case 612: 2 3142673/4815163
Case 613: 24 9208/638689
Case 614: 5 422505/1257344
Case 615: 1 1720561/3656256
Case 616: 3745361/6886548
Case 617: 5 2702989/5576161
Case 618: 4 1919996/6148064
Case 619: 15 1628257/1721865
Case 620: 3 325273/7664507
Case 621: 4 702154/5070747
Case 622: 3 1400148/4187052
Case 623: 10 41891/229794
Case 624: 8 1268893/3812492
Case 625: 1214685/4462047
Case 626: 12 808597/2595266
Case 627: 11 1463570/2089792
Case 628: 1 1274862/3092920
Case 629: 706576/1953936
Case 630: 2 3938097/5712741
Case 631: 3 790773/2165093
Case 632: 288596/3661977
Case 633: 6656454/6983977
Case 634: 3210140/5050536
Case 635: 17 906587/990929
Case 636: 1 2022126/2677806
Case 637: 26 218642/518931
Case 638: 4 2096836/7318669
Case 639: 3 5290135/6704912
Case 640: 5 495404/2598788
Case 641: 1 4077397/8163821
Case 642: 6 272380/5106582
Case 643: 5 3445309/4662275
Case 644: 4 243349/8113143
Case 645: 4 4139837/6124546
Case 646: 1 3954167/8321399
Case 647: 16 709460/1187852
Case 648: 3666116/6830174
Case 649: 10 1257084/2475772
Case 650: 3 38039/394228
Case 651: 7 62549/3314995
Case 652: 7 1357891/2914329
Case 653: 4 543451/6536925
Case 654: 406096/4603045
Case 655: 2 6642698/7913113
Case 656: 1 649239/1079910
Case 657: 4 971187/4559186
Case 658: 5 1942529/4332411
Case 659: 6 456688/488304
Case 660: 1 5289830/7818693
Case 661: 2 1503241/1740043
Case 662: 2 4761801/7097098
Case 663: 2 1681900/3913040
Case 664: 2994703/8366048
Case 665: 5 2022621/6171220
Case 666: 3 4517890/7426411
Case 667: 2 443035/6729345
Case 668: 18 1002054/1693106
Case 669: 1321019/5377937
Case 670: 2 271100/6152144
Case 671: 3 4122565/7282568
Case 672: 12 236076/870638
Case 673: 3 3333682/5902912
Case 674: 1676156/2325718
Case 675: 3 4064311/6324388
Case 676: 3 4223546/8386031
Case 677: 5 3495615/5832307
Case 678: 7 208723/3399504
Case 679: 1 3670707/7609670
Case 680: 2 5145391/7975681
Case 681: 33 769344/849616
Case 682: 15 858749/2037395
Case 683: 6 2652930/2816217
Case 684: 2 2243157/8041287
Case 685: 2 2981087/3751734
Case 686: 6 406240/2625540
Case 687: 300723/4190957
Case 688: 2 2001485/7015039
Case 689: 20 613004/859921
Case 690: 7 30085/3854937
Case 691: 3 3001794/7379631
Case 692: 3614919/7210518
Case 693: 2 5583293/6815615
Case 694: 30 217235/470726
Case 695: 1624 10531/16278
Case 696: 13 2233506/2243067
Case 697: 5 157420/4961867
Case 698: 9 19195/2052022
Case 699: 523317/3577461
Case 700: 1266038/3843639
Case 701: 4951258/6361149
Case 702: 17 910813/1058420
Case 703: 1 451480/6560982
Case 704: 6 2648472/3470162
Case 705: 52 134289/136926
Case 706: 46 107155/688247
Case 707: 8 641751/2866632
Case 708: 3 639079/7934456
Case 709: 1 4818574/6078155
Case 710: 7 1288776/3815649
Case 711: 4 2460182/4053195
Case 712: 2 1550073/7776068
Case 713: 6 1684902/1896878
Case 714: 7 121331/1092441
Case 715: 23 294366/824040
Case 716: 46 60576/520385
Case 717: 4913357/5985466
Case 718: 5 2451436/3975557
Case 719: 1 3693355/6987325
Case 720: 7 1911376/1918539
Case 721: 1158973/1303140
Case 722: 6 3073782/4162492
Case 723: 1 2099753/8077770
Case 724: 2 31670/5504176
Case 725: 9 1863419/2309052
Case 726: 5 1694512/4542672
Case 727: 4 1943455/2419063
Case 728: 21 12200/1591031
Case 729: 15 324897/1240212
Case 730: 16 57486/1506547
Case 731: 26 714347/1093924
Case 732: 1 597702/5524690
Case 733: 7 3375298/3779190
Case 734: 1465349/3764090
Case 735: 26 14173/701055
Case 736: 1 1152131/6229164
Case 737: 6 2752793/3667094
Case 738: 5 331156/5715405
Case 739: 1 1206975/3684661
Case 740: 1 1229523/2976407
Case 741: 6 1083971/2156625
Case 742: 2 5999387/7010466
Case 743: 2111416/5701169
Case 744: 1 135189/7090489
Case 745: 5482104/7064218
Case 746: 5 2116370/4548419
Case 747: 1 1160610/6282619
Case 748: 1 396005/4686325
Case 749: 5 3978521/5822777
Case 750: 3 4122656/4348259
Case 751: 8 2484140/3253302
Case 752: 8 1211946/1644101
Case 753: 1869469/5457204
Case 754: 4 2554712/2984405
Case 755: 1 4833311/8122735
Case 756: 4 3872657/4075349
Case 757: 3 1936307/7785974
Case 758: 10 1177139/2239517
Case 759: 4226571/6101963
Case 760: 2454800/4959462
Case 761: 19 89633/1757300
Case 762: 6 35734/1157990
Case 763: 53 185281/519008
Case 764: 2 1339837/4075017
Case 765: 2 3420042/7516115
Case 766: 5 3052309/4132574
Case 767: 1 4772748/8236368
Case 768: 8 1654693/1793468
Case 769: 2 3374315/7504582
Case 770: 14 408838/958219
Case 771: 4 1227638/6678854
Case 772: 10 899730/2233907
Case 773: 4 1123116/5610509
Case 774: 3995974/6487734
Case 775: 1257179/3281192
Case 776: 4 2597381/7537130
Case 777: 2 6582499/7850483
Case 778: 2 5801744/7373891
Case 779: 5 1526877/5871613
Case 780: 4584711/7077409
Case 781: 9 382078/3544525
Case 782: 3 2399866/4653079
Case 783: 28 264569/799338
Case 784: 5 2180266/2622058
Case 785: 6 1178336/1734668
Case 786: 3 1255474/3841781
Case 787: 1 189568/7003801
Case 788: 61 339297/527776
Case 789: 1 933887/6711837
Case 790: 1 1209160/2591040
Case 791: 5 1080455/3784060
Case 792: 81 43914/292732
Case 793: 3117857/7181305
Case 794: 9 1601604/2321665
Case 795: 4 1066805/1951018
Case 796: 2660499/3809932
Case 797: 16 257154/334634
Case 798: 1 2461009/5017183
Case 799: 116 158865/257439
Case 800: 1 2370253/4974924
Case 801: 11 1150419/1597064
Case 802: 1 1896810/8388183
Case 803: 536 30890/61940
Case 804: 3 3273094/6559278
Case 805: 1576323/4763365
Case 806: 2 2899261/7572510
Case 807: 58 401123/554049
Case 808: 8 2110302/3174093
Case 809: 8 593528/1846228
Case 810: 2750356/5301260
Case 811: 3 4155948/6351086
Case 812: 23 236829/1173839
Case 813: 1 49930/420426
Case 814: 4 1722676/3481793
Case 815: 8 1382716/3660726
Case 816: 3 6112983/6324378
Case 817: 23 201910/1198023
Case 818: 3846000/5696585
Case 819: 2 1052336/2899837
Case 820: 3556062/4763094
Case 821: 1505567/4694180
Case 822: 3 6711577/6986438
Case 823: 1 7520223/7852410
Case 824: 3 3964915/4997721
Case 825: 1929835/4197434
Case 826: 8 277613/1839940
Case 827: 7 2630550/2899347
Case 828: 18 329028/1025871
Case 829: 1 1070105/2411263
Case 830: 15 576019/769017
Case 831: 4495048/5178998
Case 832: 3 4456589/6094005
Case 833: 1 713549/4166938
Case 834: 3453886/5113065
Case 835: 1 2103644/5833543
Case 836: 1 647124/5893284
Case 837: 133 91199/91703
Case 838: 1 559465/5255423
Case 839: 2 4505354/5027407
Case 840: 1 367696/4250164
Case 841: 12 1685265/2400191
Case 842: 4 1412661/5481157
Case 843: 2 824539/3262855
Case 844: 6 371196/1937783
Case 845: 1 393619/6071983
Case 846: 2 1330111/7568666
Case 847: 9 1008265/2958450
Case 848: 472510/1128842
Case 849: 4 3332503/6386054
Case 850: 2 1768047/5958953
Case 851: 4 1537805/6532604
Case 852: 12 297193/332662
Case 853: 1 1266438/5828925
Case 854: 6 495140/4034805
Case 855: 3 1869498/3931715
Case 856: 3 1682620/6635350
Case 857: 55 230275/414493
Case 858: 8 1677413/1894131
Case 859: 7 612181/3456689
Case 860: 22 1010685/1182066
Case 861: 1 1335642/2957481
Case 862: 5 1460036/3144113
Case 863: 11 1611572/2017070
Case 864: 3 2216219/7012918
Case 865: 3 5161637/7609985
Case 866: 10 1100977/2723625
Case 867: 16 17242/285349
Case 868: 32 29276/518389
Case 869: 4 1790618/4028488
Case 870: 3 5677129/6098219
Case 871: 184525/4237676
Case 872: 985 2280/32132
Case 873: 4 542733/4327168
Case 874: 2 6928195/8132080
Case 875: 13 25009/2111671
Case 876: 7 1472382/2322823
Case 877: 2 1483638/8004018
Case 878: 4 2523970/5700730
Case 879: 28 705784/1135915
Case 880: 9 422944/2378286
Case 881: 4 628338/1532523
Case 882: 4 1767476/2709549
Case 883: 21 1444250/1470253
Case 884: 4442981/4651962
Case 885: 2 1625902/7377528
Case 886: 4 3868929/7247815
Case 887: 1214198/8216313
Case 888: 7284649/8336789
Case 889: 3 3562865/5367312
Case 890: 3 450385/6818524
Case 891: 1 2707/944426
Case 892: 7225395/7432684
Case 893: 4 2652059/3540226
Case 894: 7 3259805/3332469
Case 895: 2896675/3539798
Case 896: 1 670201/4890810
Case 897: 419160/7885784
Case 898: 1 2684903/3023026
Case 899: 4684094/7338264
Case 900: 1 775239/2540849
Case 901: 10 211977/677931
Case 902: 1 4607088/5720896
Case 903: 5 1422690/3525106
Case 904: 2 5280786/8239576
Case 905: 1 528603/3602043
Case 906: 2080341/4289807
Case 907: 1422362/8292713
Case 908: 3 1800090/3887089
Case 909: 6042018/6794177
Case 910: 3 4872283/5638328
Case 911: 5 1233742/1661806
Case 912: 19 1348232/1615384
Case 913: 448 10745/22902
Case 914: 4 3888441/5013686
